code,name,mktcap_usd,pe_ttm,pb,div_yield_pct,rsi14
US.AEP,American Electric Power,67156857342.7,21.38,2.09,3.031,40.35
US.TGT,Target,74521971262.4,17.02,4.18,2.755,67.35
US.SBUX,Starbucks,123678600000.0,62.71,-16.12,2.249,58.85
US.SNY,Sanofi,108832559345.4,23.84,1.35,5.004,58.65
US.MT,ArcelorMittal SA,56198727751.9,31.32,1.03,0.737,59.96
US.TRP,TC Energy,65485467082.6,26.12,3.56,3.94,41.07
US.MRK,Merck & Co,377723977777.8,122.48,9.01,2.142,70.97
US.BCS,Barclays,91128707888.8,10.33,0.84,1.717,48.34
US.NVO,Novo-Nordisk A/S,210703350000.0,11.55,6.11,3.869,51.59
US.CNQ,Canadian Natural Resources,102332860000.0,12.26,3.03,3.448,61.52
US.CTAS,Cintas,82346892262.6,41.91,16.02,0.874,58.98
US.ADI,Analog Devices,180161439887.0,44.16,5.37,1.046,44.9
US.PEP,PepsiCo,194073930632.0,18.64,8.78,3.954,54.35
US.CP,Canadian Pacific Railway,83257593305.0,30.56,2.48,0.672,58.74
US.MFG,Mizuho Financial,127152311541.8,16.56,1.79,1.703,51.2
US.AXP,American Express,227005400363.0,20.4,6.62,0.975,46.38
US.GOOG,Alphabet-C,4147193000000.0,17.01,6.66,0.244,44.18
US.ADBE,Adobe,108704325000.0,15.64,9.44,0.0,60.76
US.MDLZ,Mondelez International,80420170671.6,23.08,3.02,3.078,52.3
US.DHR,Danaher,151395076589.4,38.25,2.88,0.594,62.98
US.RIO,Rio Tinto,170279815673.7,14.18,2.6,3.562,64.7
US.TRV,The Travelers Companies,77412619415.3,9.97,2.34,1.172,54.51
US.WM,Waste Management,88432987308.2,31.29,8.91,1.491,38.82
US.NVDA,NVIDIA,5052806000000.0,26.51,22.07,0.019,46.3
US.KKR,KKR & Co,97393462708.5,34.66,3.42,0.672,55.41
US.AFL,Aflac Inc,58882770350.1,12.67,1.94,1.975,40.95
US.DLR,Digital Realty Trust Inc,71576097523.7,94.36,2.68,2.522,53.02
US.GM,General Motors,75750391534.5,38.54,1.22,0.66,53.15
US.DEO,Diageo,52071147941.8,30.06,4.79,3.543,56.77
US.DIS,Disney,189296685066.3,22.6,1.72,0.912,65.3
US.HON,Honeywell,69939152006.7,8.56,3.77,4.15,40.35
US.PNC,PNC Financial Services,97609547004.9,13.47,1.52,2.697,42.22
US.WMB,Williams,91015891591.5,29.65,6.92,2.687,55.53
US.NXPI,NXP Semiconductors,56270435428.1,19.04,4.94,1.817,35.82
US.TMO,Thermo Fisher Scientific,234312552611.1,34.11,4.45,0.271,75.34
US.CVX,Chevron,395569166767.5,19.27,2.08,3.416,59.35
US.TER,Teradyne,56767326325.0,49.88,16.52,0.132,45.48
US.GLW,Corning,131602909210.2,70.41,10.48,0.733,46.77
US.ASX,ASE Technology,83286761613.7,45.55,6.83,0.885,48.88
US.UNH,UnitedHealth,359944509595.5,25.77,3.66,2.177,47.72
US.TEL,TE Connectivity,59358897136.8,20.08,4.48,1.326,47.65
US.MRVL,Marvell Technology,214659107941.5,84.23,11.78,0.097,57.81
US.LOW,Lowe's Companies,118011960000.0,17.78,-15.87,2.258,43.31
US.CNI,Canadian National Railway,77046914000.0,22.72,4.88,2.028,53.46
US.UNP,Union Pacific,184531731188.8,25.15,8.93,1.751,68.86
US.SYK,Stryker Corp,126452526074.8,34.16,5.27,1.031,47.76
US.ORCL,Oracle,428815717770.0,25.54,11.42,1.343,54.78
US.EMR,Emerson Electric,88294162000.0,34.64,4.33,1.332,56.39
US.PGR,Progressive,129300561000.0,11.16,3.77,6.246,59.14
US.APH,Amphenol,198929550952.4,40.34,12.84,0.461,50.76
US.CMCSA,Comcast,96522914785.6,8.72,1.08,4.852,68.45
US.CB,Chubb Ltd,132626417528.4,12.18,1.76,1.111,47.61
US.CAT,Caterpillar,377820581515.8,35.4,19.48,0.71,42.86
US.OXY,Occidental Petroleum,58598742688.0,9.06,1.75,1.637,53.76
US.NOK,Nokia Oyj,58281894450.0,68.94,2.36,1.575,51.3
US.ROST,Ross Stores,75790944826.5,28.57,11.24,0.685,45.45
US.PCAR,PACCAR Inc,68022142876.2,27.21,3.35,1.021,49.53
US.DE,Deere,171286093659.5,35.27,6.12,1.021,56.9
US.BA,Boeing,167629577541.8,76.29,27.51,0.0,39.3
US.MMM,3M,92830035060.0,31.97,31.45,1.622,59.79
US.PH,Parker Hannifin,131025083550.8,36.5,8.51,0.711,58.18
US.LMT,Lockheed Martin,130539865711.9,20.86,14.89,2.36,47.46
US.PLD,Prologis,135508035513.5,31.76,2.53,2.833,51.31
US.DB,Deutsche Bank,75592170000.0,11.55,0.95,1.986,71.92
US.WAB,Westinghouse Air Brake Technologies,50764467159.5,40.45,4.53,0.332,61.16
US.IBKR,Interactive Brokers,164810606859.4,38.5,7.45,0.312,60.17
US.CSX,CSX Corp,95884101703.9,29.92,6.81,1.004,62.59
US.STT,State Street,53187755739.3,17.09,2.15,1.652,62.63
US.TM,Toyota Motor,227173736933.4,8.7,0.97,3.044,56.45
US.SLB,SLB Ltd,79550077181.6,26.15,3.05,2.126,58.87
US.MCD,McDonald's,188890753869.8,21.68,-184.6,2.686,44.42
US.TSM,Taiwan Semiconductor,2166351233351.8,31.17,10.74,0.726,50.05
US.NSC,Norfolk Southern,79214880989.6,30.09,4.87,1.531,66.76
US.NGG,National Grid,80961647000.8,18.17,1.52,3.828,47.49
US.ITW,Illinois Tool Works,81313248000.0,25.86,28.1,2.178,51.69
US.E,Eni SpA,77177338811.3,13.68,1.27,4.478,48.05
US.TJX,TJX Companies,151156709346.2,25.34,14.19,1.205,22.81
US.SAP,SAP SE,244321056000.0,27.19,4.69,1.286,64.85
US.BHP,BHP Group Ltd,244820469873.3,24.93,4.95,2.761,65.65
US.PM,Philip Morris International,302526868509.9,27.93,-35.25,2.905,57.68
US.FAST,Fastenal,58694500858.9,43.72,14.42,1.71,58.84
US.TXN,Texas Instruments,239060846764.2,39.78,13.28,2.101,39.03
US.CAH,Cardinal Health,55446053555.2,32.97,-19.23,0.859,57.7
US.INTC,Intel,463568007367.4,-42.22,5.3,0.0,38.69
US.MAR,Marriott International,93529044517.0,37.13,-20.67,0.736,48.08
US.GD,General Dynamics,103358259633.9,23.29,3.85,1.57,48.44
US.ETN,Eaton,162910496000.0,42.58,8.04,0.991,47.93
US.F,Ford Motor,55427579771.3,-7.43,1.55,5.395,47.33
US.VLO,Valero Energy,100207394251.8,14.51,4.01,1.298,66.63
US.CMI,Cummins,79589346514.2,29.56,6.2,1.321,32.86
US.MCK,McKesson,104540748983.9,23.94,-24.66,0.353,59.45
US.LNG,Cheniere Energy,58672223604.6,21.52,9.48,0.723,65.17
US.FCX,Freeport-McMoRan,113445384317.0,38.73,5.64,0.759,70.37
US.CSCO,Cisco,442859598959.4,33.74,8.81,1.477,45.95
US.BLK,Blackrock,181694163351.4,28.11,3.15,1.776,63.05
US.EQIX,Equinix Inc,106526938922.5,69.47,7.41,1.737,56.24
US.ISRG,Intuitive Surgical,130861250836.0,42.48,7.2,0.0,43.79
US.BUD,Anheuser-Busch Inbev,154674395425.2,16.9,1.65,1.657,41.71
US.SAN,Banco Santander,213832160997.0,11.79,1.68,1.782,59.19
US.XOM,Exxon Mobil,650463352952.4,20.36,2.51,2.528,52.17
US.COP,ConocoPhillips,156906688132.2,17.28,2.4,2.434,63.37
US.SPG,Simon Property,70838246541.2,28.87,26.51,3.938,40.84
US.ORLY,O'Reilly Automotive,72442438923.6,28.43,-39.47,0.0,47.79
US.NOC,Northrop Grumman,78127561148.7,17.48,4.37,1.634,46.86
US.BAM,Brookfield Asset Management,83073057432.3,30.24,11.06,3.364,53.26
US.MELI,MercadoLibre,98881070492.9,53.06,12.62,0.0,58.92
US.BP,BP PLC,109452047240.0,20.31,1.87,4.607,49.48
US.DVN,Devon Energy,51513000000.0,10.18,1.23,2.049,55.01
US.CVE,Cenovus Energy,58056832600.0,12.14,2.36,1.804,57.92
US.URI,United Rentals,65831390915.7,25.44,7.14,0.676,40.66
US.RCL,Royal Caribbean,77561104360.0,17.91,7.58,1.206,39.26
US.AMT,American Tower Corp,81883159235.0,24.17,22.01,3.869,54.28
US.JCI,Johnson Controls,87426666365.1,25.37,6.48,1.046,45.71
US.EOG,EOG Resources,75972805851.8,11.27,2.38,2.723,51.15
US.BX,Blackstone,114267643739.2,32.04,12.68,3.275,59.15
US.AEM,Agnico Eagle,108382335490.6,18.33,3.75,0.747,72.26
US.MDT,Medtronic,117783838829.2,24.67,2.38,3.086,61.23
US.PWR,Quanta Services,92721280764.9,70.56,9.62,0.066,40.96
US.AVGO,Broadcom,1691747942606.8,59.17,19.29,0.663,34.36
US.CDNS,Cadence Design Systems,92168529240.0,66.54,13.44,0.0,51.33
US.BBVA,Banco Bilbao Vizcaya Argentaria,160196402771.9,13.18,2.36,2.921,67.37
US.MSFT,Microsoft,3685818015367.7,27.65,8.33,0.717,67.95
US.SU,Suncor Energy,76809576620.0,12.12,2.21,2.562,53.35
US.TSLA,Tesla,1365832479793.1,320.2,15.72,0.0,49.82
US.UL,Unilever,139876060555.8,13.15,7.73,3.68,60.92
US.CI,Cigna Group,74217225302.8,11.62,1.74,2.15,50.11
US.AMAT,Applied Materials,380736309253.7,41.39,14.86,0.358,41.04
US.AU,AngloGold Ashanti,59736406826.2,15.83,6.67,2.137,72.07
US.NEM,Newmont,138665902863.6,16.6,3.93,0.759,71.46
US.NTES,NetEase,78764152000.1,16.48,3.17,2.531,46.72
